0.8928571428571429
class4,p
II,0.6786666666666666
nonevent,0.236
nonevent,0.04
nonevent,0.002
nonevent,0.020666666666666667
II,0.934
Ia,0.5933333333333334
nonevent,0.036
II,0.9633333333333334
nonevent,0.06666666666666667
II,0.6273333333333333
nonevent,0.05533333333333333
II,0.6793333333333333
Ib,0.9973333333333333
nonevent,0.18466666666666667
Ib,0.926
nonevent,0.050666666666666665
nonevent,0.002
nonevent,0.004666666666666667
nonevent,0.028
Ib,0.9906666666666667
nonevent,0.37933333333333336
nonevent,0.262
nonevent,0.4
Ib,0.9946666666666667
nonevent,0.112
II,0.5033333333333333
Ib,0.9726666666666667
II,1.0
Ib,0.9386666666666666
Ib,0.98
Ib,0.97
nonevent,0.03333333333333333
Ib,1.0
II,1.0
Ib,0.95
nonevent,0.048666666666666664
nonevent,0.0006666666666666666
nonevent,0.078
II,0.8766666666666667
nonevent,0.3913333333333333
II,0.998
nonevent,0.018
II,0.64
nonevent,0.16666666666666666
nonevent,0.010666666666666666
nonevent,0.06066666666666667
nonevent,0.011333333333333334
nonevent,0.22133333333333333
Ia,0.9926666666666667
nonevent,0.212
II,0.8713333333333333
II,0.716
Ia,1.0
nonevent,0.43666666666666665
II,0.944
nonevent,0.014
Ia,0.9913333333333333
II,0.69
nonevent,0.27066666666666667
nonevent,0.0006666666666666666
nonevent,0.07733333333333334
Ib,0.9933333333333333
Ib,1.0
II,0.576
nonevent,0.03133333333333333
Ib,0.7933333333333333
II,0.8133333333333334
Ia,0.9886666666666667
II,0.6046666666666667
Ib,0.6793333333333333
nonevent,0.4646666666666667
II,0.9493333333333334
nonevent,0.4766666666666667
Ia,0.9946666666666667
Ib,0.8506666666666667
nonevent,0.048
nonevent,0.04666666666666667
II,0.9626666666666667
nonevent,0.008
nonevent,0.256
II,0.9106666666666666
nonevent,0.21933333333333332
nonevent,0.018
nonevent,0.3453333333333333
nonevent,0.028666666666666667
nonevent,0.012
nonevent,0.064
nonevent,0.0
Ia,0.956
nonevent,0.017333333333333333
Ia,0.9893333333333333
II,0.9966666666666667
II,0.67
nonevent,0.09933333333333333
nonevent,0.078
II,0.9173333333333333
II,0.814
II,0.998
Ib,0.654
II,0.7333333333333333
nonevent,0.142
II,0.9126666666666666
nonevent,0.18066666666666667
Ib,0.6426666666666667
nonevent,0.050666666666666665
nonevent,0.33266666666666667
Ia,0.9946666666666667
nonevent,0.15666666666666668
nonevent,0.10733333333333334
II,0.8973333333333333
nonevent,0.05466666666666667
nonevent,0.09
II,0.93
nonevent,0.18333333333333332
II,0.866
Ia,0.986
nonevent,0.044
nonevent,0.05533333333333333
nonevent,0.10133333333333333
II,1.0
Ib,0.5586666666666666
nonevent,0.008666666666666666
nonevent,0.030666666666666665
nonevent,0.17133333333333334
II,0.6853333333333333
nonevent,0.14933333333333335
nonevent,0.20866666666666667
nonevent,0.16
II,0.68
nonevent,0.011333333333333334
nonevent,0.4746666666666667
II,1.0
Ia,0.5166666666666667
nonevent,0.13466666666666666
nonevent,0.12733333333333333
II,0.546
nonevent,0.20533333333333334
nonevent,0.06266666666666666
II,0.9986666666666667
Ib,0.766
Ib,0.6933333333333334
nonevent,0.28733333333333333
II,0.898
Ib,0.876
nonevent,0.038
II,0.9906666666666667
Ib,0.902
nonevent,0.054
nonevent,0.102
nonevent,0.068
II,0.6866666666666666
Ib,0.8686666666666667
II,0.978
II,0.9986666666666667
nonevent,0.4746666666666667
nonevent,0.007333333333333333
nonevent,0.17533333333333334
II,0.744
Ib,0.9793333333333333
Ib,0.7286666666666667
nonevent,0.03
nonevent,0.13933333333333334
II,0.912
Ib,0.9846666666666667
Ib,0.5926666666666667
nonevent,0.042666666666666665
Ib,0.9713333333333334
II,0.5386666666666666
II,0.99
nonevent,0.004
nonevent,0.09066666666666667
nonevent,0.126
nonevent,0.356
nonevent,0.022
nonevent,0.14733333333333334
Ib,0.99
Ib,0.936
nonevent,0.022
nonevent,0.02266666666666667
nonevent,0.08333333333333333
nonevent,0.12466666666666666
nonevent,0.24533333333333332
nonevent,0.058666666666666666
nonevent,0.07733333333333334
nonevent,0.38466666666666666
Ib,0.986
nonevent,0.10266666666666667
nonevent,0.018
nonevent,0.006666666666666667
nonevent,0.058
nonevent,0.11
Ia,0.9953333333333333
Ia,0.974
Ib,0.9346666666666666
nonevent,0.13533333333333333
nonevent,0.010666666666666666
nonevent,0.016
Ia,0.9986666666666667
Ib,0.9993333333333333
Ia,0.7493333333333333
nonevent,0.10466666666666667
II,0.9773333333333334
II,0.9553333333333334
nonevent,0.10733333333333334
Ib,0.9906666666666667
II,0.9926666666666667
nonevent,0.10533333333333333
Ib,0.9946666666666667
nonevent,0.051333333333333335
nonevent,0.288
nonevent,0.011333333333333334
Ib,0.9093333333333333
nonevent,0.004
nonevent,0.02266666666666667
nonevent,0.0
nonevent,0.056666666666666664
II,0.944
Ib,0.9333333333333333
nonevent,0.4846666666666667
II,0.7433333333333333
Ia,0.9966666666666667
nonevent,0.030666666666666665
nonevent,0.43333333333333335
nonevent,0.272
II,0.8726666666666667
Ia,0.7393333333333333
Ib,0.9986666666666667
Ib,0.9033333333333333
nonevent,0.042
nonevent,0.18266666666666667
nonevent,0.136
nonevent,0.43266666666666664
nonevent,0.07666666666666666
nonevent,0.03266666666666666
nonevent,0.194
nonevent,0.28933333333333333
II,0.9933333333333333
nonevent,0.0
nonevent,0.08
nonevent,0.05733333333333333
II,0.86
nonevent,0.276
nonevent,0.126
nonevent,0.021333333333333333
nonevent,0.39
nonevent,0.0
Ib,0.9993333333333333
nonevent,0.4226666666666667
Ib,0.7293333333333333
nonevent,0.023333333333333334
II,0.994
nonevent,0.08466666666666667
nonevent,0.24733333333333332
Ib,0.9126666666666666
nonevent,0.158
II,0.9946666666666667
Ib,0.902
II,0.824
nonevent,0.005333333333333333
Ib,0.8286666666666667
nonevent,0.392
II,0.9673333333333334
Ia,0.9613333333333334
II,0.88
nonevent,0.086
II,0.7633333333333333
Ib,0.9986666666666667
nonevent,0.42866666666666664
Ib,0.8246666666666667
Ib,0.97
Ib,0.9993333333333333
nonevent,0.008
Ib,0.5986666666666667
Ia,0.9833333333333333
nonevent,0.15466666666666667
nonevent,0.14133333333333334
Ib,0.996
nonevent,0.476
II,0.8133333333333334
Ia,0.9946666666666667
II,0.5166666666666667
II,0.9026666666666666
nonevent,0.025333333333333333
nonevent,0.006666666666666667
II,0.7113333333333334
Ib,0.9866666666666667
nonevent,0.10333333333333333
Ia,0.64
II,0.9946666666666667
II,0.9773333333333334
nonevent,0.06533333333333333
nonevent,0.108
nonevent,0.08466666666666667
II,0.712
Ib,1.0
II,0.604
nonevent,0.21
Ib,0.9266666666666666
Ib,0.992
Ia,1.0
nonevent,0.32466666666666666
nonevent,0.4553333333333333
II,0.982
Ib,0.9193333333333333
Ia,0.942
nonevent,0.16
Ib,0.9426666666666667
Ib,0.9993333333333333
Ia,1.0
nonevent,0.046
Ib,0.8613333333333333
II,0.9173333333333333
II,0.9986666666666667
nonevent,0.0033333333333333335
Ia,0.7733333333333333
nonevent,0.242
nonevent,0.04066666666666666
II,0.644
Ib,1.0
Ib,0.99
nonevent,0.004666666666666667
nonevent,0.09466666666666666
Ib,0.9933333333333333
nonevent,0.19
nonevent,0.0
II,1.0
nonevent,0.012666666666666666
Ib,0.92
II,1.0
nonevent,0.2946666666666667
nonevent,0.398
II,0.97
nonevent,0.25933333333333336
Ib,1.0
II,0.676
Ib,0.9526666666666667
nonevent,0.010666666666666666
II,1.0
nonevent,0.39666666666666667
Ia,0.9986666666666667
II,0.824
II,0.7526666666666667
nonevent,0.09466666666666666
II,0.5826666666666667
nonevent,0.26666666666666666
nonevent,0.414
Ib,0.9793333333333333
Ib,0.994
nonevent,0.088
nonevent,0.102
nonevent,0.14733333333333334
II,0.9786666666666667
II,0.726
nonevent,0.39066666666666666
nonevent,0.051333333333333335
nonevent,0.016666666666666666
Ib,0.8926666666666667
Ib,0.9766666666666667
II,0.9366666666666666
nonevent,0.028666666666666667
II,0.9866666666666667
II,0.9806666666666667
II,1.0
nonevent,0.12
II,0.9866666666666667
Ia,0.998
nonevent,0.38
Ib,0.8246666666666667
II,0.9866666666666667
II,0.994
nonevent,0.03133333333333333
Ib,0.9986666666666667
II,0.64
II,0.764
II,0.9693333333333334
nonevent,0.13333333333333333
II,0.9966666666666667
nonevent,0.13
nonevent,0.10333333333333333
Ib,0.9793333333333333
Ib,0.9353333333333333
II,0.976
II,0.97
nonevent,0.21066666666666667
II,0.846
nonevent,0.252
Ib,0.9933333333333333
Ib,0.9853333333333333
nonevent,0.01
Ib,0.924
Ib,0.8426666666666667
nonevent,0.284
II,1.0
nonevent,0.015333333333333332
Ia,0.9893333333333333
nonevent,0.04
nonevent,0.36866666666666664
II,0.684
nonevent,0.020666666666666667
nonevent,0.025333333333333333
II,0.9906666666666667
II,0.8653333333333333
Ia,1.0
nonevent,0.08666666666666667
nonevent,0.051333333333333335
nonevent,0.02
nonevent,0.05
nonevent,0.49
II,0.9253333333333333
II,0.9846666666666667
II,0.98
II,1.0
nonevent,0.03866666666666667
Ib,0.91
Ib,0.786
nonevent,0.04533333333333334
nonevent,0.224
Ib,0.7086666666666667
nonevent,0.308
Ib,1.0
Ia,0.7346666666666667
II,0.84
nonevent,0.142
nonevent,0.17066666666666666
II,0.998
Ia,0.9926666666666667
Ia,0.6013333333333334
nonevent,0.004666666666666667
nonevent,0.4573333333333333
nonevent,0.21
nonevent,0.092
Ib,0.9986666666666667
nonevent,0.011333333333333334
II,0.7813333333333333
nonevent,0.10666666666666667
nonevent,0.044
nonevent,0.023333333333333334
nonevent,0.027333333333333334
nonevent,0.09666666666666666
nonevent,0.022
Ib,0.8713333333333333
II,1.0
nonevent,0.068
II,0.9926666666666667
II,0.938
II,0.902
nonevent,0.23333333333333334
nonevent,0.08733333333333333
II,0.966
Ib,0.9546666666666667
nonevent,0.24066666666666667
nonevent,0.134
nonevent,0.24
nonevent,0.042666666666666665
nonevent,0.10733333333333334
II,0.9326666666666666
nonevent,0.316
Ib,0.844
nonevent,0.012666666666666666
II,0.9793333333333333
II,0.98
nonevent,0.008
nonevent,0.08133333333333333
nonevent,0.048
Ia,0.562
nonevent,0.012
nonevent,0.21466666666666667
nonevent,0.25666666666666665
nonevent,0.316
II,1.0
nonevent,0.4246666666666667
nonevent,0.0
Ib,0.9946666666666667
Ib,0.5733333333333334
nonevent,0.018
II,1.0
nonevent,0.029333333333333333
nonevent,0.038
Ia,0.964
nonevent,0.224
II,0.85
nonevent,0.022
nonevent,0.11533333333333333
Ia,0.7873333333333333
II,0.7153333333333334
II,0.63
II,0.9973333333333333
Ib,0.9993333333333333
nonevent,0.06333333333333334
nonevent,0.016666666666666666
nonevent,0.04066666666666666
nonevent,0.03
II,0.8786666666666667
Ib,0.864
nonevent,0.06133333333333333
Ib,0.9506666666666667
II,1.0
Ib,0.988
nonevent,0.0026666666666666666
II,0.9426666666666667
nonevent,0.014666666666666666
nonevent,0.0026666666666666666
nonevent,0.15933333333333333
Ib,0.992
II,0.9746666666666667
nonevent,0.07733333333333334
nonevent,0.008666666666666666
nonevent,0.044
nonevent,0.07
nonevent,0.41133333333333333
nonevent,0.22666666666666666
II,0.9773333333333334
nonevent,0.017333333333333333
nonevent,0.030666666666666665
nonevent,0.038
nonevent,0.18
II,0.938
nonevent,0.18133333333333335
nonevent,0.027333333333333334
II,0.996
nonevent,0.354
Ib,0.8193333333333334
nonevent,0.3406666666666667
nonevent,0.16533333333333333
nonevent,0.020666666666666667
nonevent,0.002
Ib,0.9186666666666666
nonevent,0.248
Ib,0.912
nonevent,0.14466666666666667
nonevent,0.096
Ib,0.966
nonevent,0.188
nonevent,0.006666666666666667
nonevent,0.12
nonevent,0.025333333333333333
nonevent,0.22733333333333333
Ib,0.9273333333333333
II,0.8906666666666667
nonevent,0.24133333333333334
nonevent,0.31466666666666665
nonevent,0.01
Ia,0.6786666666666666
Ib,0.9946666666666667
nonevent,0.24133333333333334
nonevent,0.224
nonevent,0.45266666666666666
nonevent,0.176
nonevent,0.08466666666666667
Ib,0.8753333333333333
nonevent,0.04533333333333334
nonevent,0.002
nonevent,0.08933333333333333
nonevent,0.226
Ib,0.9533333333333334
II,0.9993333333333333
Ib,0.588
nonevent,0.09666666666666666
nonevent,0.112
nonevent,0.010666666666666666
Ib,0.886
II,0.9913333333333333
nonevent,0.054
nonevent,0.116
nonevent,0.006
nonevent,0.015333333333333332
nonevent,0.2773333333333333
Ib,0.882
Ia,0.9986666666666667
nonevent,0.052
II,0.9586666666666667
Ia,0.5093333333333333
II,0.992
Ib,0.948
